gid,timestamp,Date,Zone,Preferred Language (if translator needed)?,City,State,Zipcode,# of Occupants,Are you living here now?,Rent or Own?,Rent or Own? 2,"If not here, where are you staying?",Do you need a safe place to sleep?,Does anyone in your household need food?,Do you have electricity?,Do you have water?,Do you have heat?,Do you have plumbing?,Is the water clean?,Are there children living here?,Are there senior citizens living here?,Are there disabled people living here?,What is your country of origin?,Did you stay at home during Sandy?,Was your house damaged?,Do you have a mold problem?,Do you need help with repairs?,Does anyone in your household need medical attention?,Is anyone at home feeling stressed out?,Does anyone need to speak with a lawyer?,Does anyone need to speak with a lawyer? 2,Did you receive Disaster Food Stamps?,Do you need help with unemployment benefits?,Have you registered with FEMA?,Did you receive a check from FEMA?,Did you receive all the funds you believe you should have received from FEMA?,Did you apply for an SBA loan?,"If you didn’t apply for an SBA loan, was it because you were:",Name of insurers:,Did you file an insurance claim?,Do you have flood insurance?,Have you received your flood insurance payment?,Did the payment cover all repairs?,"If insurance payment was insufficient, or claim denied, did you file an appeal?","If insurance payment was insufficient, or claim denied, did you file an appeal? 2",Would you accept help from an attorney with filing an insurance appeal?,Are you having mortgage problems?,Do you need legal help with lender problems?,Did you receive FEMA rental assistance to help you with leasing a temporary or permanent apartment?,Did you rent out any part of your home pre-Sandy?,Would you be interested in attending a community meeting?,What is your greatest need?,Response,Stickers on house?,"If free non-perishable food was available ongoing in your community, would this be helpful?",Any specific details for medical attention?,Were you told not to register FEMA or not allowed to register with FEMA?,Would you accept help from an attorney for your FEMA appeal?,Was any portion of this house used as a rental unit pre-Sandy?,"If not, do you need FEMA rental assistance to help you with leasing a temporary or permanent apartment?",CONTACT INFO NOTES,BASIC INFO NOTES,FEMA/SBA NOTE,INSURANCE NOTES,HOUSING NOTES,OTHER NOTES,What subject(s) do these additional notes apply to?,Zone Number
SI1_209,2013-01-20T18:54:38Z,2012-01-19T00:00:00Z,A,,,,10305,9,YES,,OWN,,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,NO,NO,YES,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,Completed,,NO,,,,,,,NOT AFFECTED BY SANDY EXCEPT ROOF,,,,,,
SI1_210,2013-01-20T18:58:49Z,2012-01-19T00:00:00Z,B,Spanish,Staten Island,NY,,2,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,NO,YES,NO,YES,NO,YES,,YES,NO,NO,YES,YES,NO,YES,,,Yes,YES,NO,NO,NO,,YES,NO,NO,YES,,YES,Financial assistance,Completed,None,YES,,NO,YES,YES,,,"NO CHILDREN ARE RESIDENTS, BUT GREAT GRANDCHILD SPENDS TIME AT THE RESIDENCE",RECEIVED 2900 TO LIVE IN A HOTEL,,,,,18
SI1_211,2013-01-20T18:59:34Z,2012-01-19T00:00:00Z,D,,,,10306,4,YES,,OWN,,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,,NO,YES,NO,YES,NO,YES,,YES,NO,NO,YES,NO,NO,YES,,Hartford,Yes,YES,YES,NO,NO,,NO,NO,NO,"NO, COULDN'T FIND AN APARTMENT",,YES,Building supplies,Completed,Green,YES,,NO,YES,NO,,,NO PLACE TO COOK FOOD,,,COULDN'T FIND AN APARTMENT,,Home Repair,3
SI1_212,2013-01-20T19:02:48Z,2012-01-19T00:00:00Z,A,,,,10305,2,YES,,RENT,,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,,NO,NO,NO,,NO,YES,,NO,,,,,,,,,,,,,,,,,,,,,,Completed,,NO,,,,,,,OWNERS VINCENT AND GRACE SQUASHIFICO LIVE DOWNSTAIRS BUT ARE AWAY - OUT OF TOWN,,,,,,15
SI1_213,2013-01-20T19:04:16Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,YES,,OWN,,,NO,YES,YES,YES,YES,YES,NO,YES,,,NO,YES,,,NO,YES,,NO,NO,,YES,YES,,NO,Waiting on insurance,Allstate,Yes,YES,NO,,,,,NO,NO,YES,,,"TIME AND MONEY, HAVING TO USE VACATION DAYS",Completed,None,YES,,NO,,NO,NO,,FORMER MOLD PROBLEM,,,,,,18
SI1_214,2013-01-20T19:06:06Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,2,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,NO,NO,NO,YES,NO,NO,,NO,NO,YES,YES,YES,YES,,,Liberty Mutual,Yes,NO,NO,NO,NO,,YES,NO,NO,YES,,YES,Financial assistance,Completed,None,NO,,NO,NO,NO,,,,,,,,,1
SI1_215,2013-01-20T19:06:24Z,2012-01-19T00:00:00Z,A,,,,10305,5,YES,,RENT,,YES,NO,YES,YES,YES,YES,YES,YES,,NO,,YES,YES,NO,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,15
SI1_216,2013-01-20T19:14:53Z,2012-01-19T00:00:00Z,A,,,,10305,,YES,,OWN,,,NO,YES,YES,YES,YES,YES,,NO,,,NO,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,Completed,,YES,,,,,,,"BUSINESS: TERRY'S TOWNE DELI, GREW UP HERE, FED HELPED EVERYONE IN THE VICINITY, ONLY LOST PHONE LINE, OTHERWISE NO DAMAGE",,,,,,15
SI1_217,2013-01-20T19:16:49Z,2012-01-19T00:00:00Z,D,"ENGLISH, ITALIAN",,,10306,,YES,,OWN,Hotel,NO,NO,YES,YES,,YES,YES,NO,YES,YES,,NO,YES,NO,YES,NO,YES,,NO,NO,NO,YES,YES,NO,NO,Debt / Financial,Geico,Yes,NO,NO,,YES,,,NO,NO,NO,,YES,Repairs,Completed,Green,YES,,NO,YES,NO,YES,,,,,,,Home Repair,3
SI1_218,2013-01-20T19:19:08Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,3,YES,,OWN,,NO,NO,YES,,YES,YES,YES,NO,YES,NO,,YES,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,NO,YES,,Endover,Yes,YES,YES,NO,YES,,MAYBE,NO,NO,NO,,YES,Financial assistance,Completed,None,NO,,NO,NO,NO,NO,,,,,,,,1
SI1_219,2013-01-20T19:19:24Z,2012-01-19T00:00:00Z,A,,,,10305,,NO,,OWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,MARCIA'S SALON AND SKIN CARE - EX WIFE'S BUSINESS? BUSINESS NOT AFFECTED,,,,,,,15
SI1_220,2013-01-20T19:21:46Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,YES,NO,,Adirondack,Yes,NO,,,NO,,NO,NO,NO,YES,,YES,Financial assistance,Completed,None,NO,,,NO,NO,,,,NOT SURE IF THEY RECEIVED ALL THE FUNDS THEY SHOULD HAVE,,,,,18
SI1_221,2013-01-20T19:25:08Z,2012-01-19T00:00:00Z,A,,,,10305,other,YES,,OWN,,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,,YES,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,Completed,,NO,,,,,,,,,,,,,15
SI1_222,2013-01-20T19:25:27Z,2012-01-19T00:00:00Z,D,,,,10306,4,YES,,OWN,,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,,YES,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,NO,YES,,,Yes,YES,YES,,,,NO,NO,NO,YES,,YES,Financial assistance,Completed,Green from Yellow,YES,,NO,NO,NO,,,,,,,,,3
SI1_223,2013-01-20T19:26:42Z,2012-01-19T00:00:00Z,D,,,,10306,4,YES,,OWN,,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,,YES,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,NO,YES,,,Yes,YES,YES,,,,NO,NO,NO,YES,,YES,Financial assistance,Completed,Green from Yellow,YES,,NO,NO,NO,,,,,,,,,3
SI1_224,2013-01-20T19:28:17Z,2012-01-19T00:00:00Z,A,,,,10305,3,YES,,RENT,,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,Spain,YES,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,Completed,,NO,,,,,,,,,,,,,15
SI1_225,2013-01-20T19:38:12Z,2012-01-19T00:00:00Z,A,,,,10305,6,YES,,OWN,,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,,NO,YES,YES,NO,NO,YES,,NO,NO,NO,YES,YES,YES,,,Allstate,Yes,YES,YES,NO,YES,,YES,NO,NO,NO,,YES,Insurance claim,Completed,,NO,,,,NO,NO,,,,,,,,15
SI1_226,2013-01-20T19:46:01Z,2012-01-19T00:00:00Z,A,,,,10305,2,YES,,OWN,,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,,NO,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,YES,NO,,LIBERTY,Yes,YES,YES,,,,,,,,,NO,Repairs,Completed,,NO,,NO,NO,NO,,,NORMAL LEVELS OF STRESS REPORTED,,INSURANCE CLAIMS STILL PENDING,,,,15
SI1_227,2013-01-20T20:00:16Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,NO,NO,YES,,NO,NO,NO,NO,YES,YES,YES,,Kingston,Yes,YES,YES,NO,NO,,MAYBE,YES,NO,NO,,YES,insurance company problems,,None,NO,,NO,NO,NO,NO,,,,,,,,1
SI1_228,2013-01-20T20:29:56Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,5,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,,YES,YES,NO,YES,NO,NO,,NO,YES,NO,YES,YES,NO,YES,,Allstate,Yes,YES,NO,NO,YES,,NO,NO,NO,NO,,YES,drainage,Completed,None,NO,,NO,NO,NO,YES,,,,,,,,1
SI1_229,2013-01-20T20:36:11Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,2,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,YES,YES,NO,NO,,NO,YES,NO,YES,YES,YES,,Unsure,Not sure,Yes,YES,NO,NO,YES,,YES,NO,NO,NO,,NO,help putting dry wall panels,Completed,None,NO,,NO,YES,NO,YES,,,Resident not sure if they applied for an SBA loan.,,,,,1
SI1_230,2013-01-20T20:50:50Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,NO,,OWN,Family/Friend,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,NO,YES,NO,YES,NO,NO,,NO,NO,NO,YES,YES,YES,YES,,,Yes,NO,,NO,,,NO,NO,NO,YES,,YES,Heat,Completed,None,,,NO,NO,NO,,,"URGENT - LACK OF HEAT, WATER, PLUMBING",,,,,"Utilities (heat, electric, gas, water, phone, etc).",17
SI1_231,2013-01-20T20:55:42Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,YES,,OWN,,NO,NO,YES,,,,YES,NO,NO,NO,,YES,YES,NO,YES,NO,YES,,NO,NO,YES,YES,NO,,NO,Debt / Financial,,Yes,YES,,NO,NO,,YES,NO,NO,NO,,YES,Getting back to normal,Completed,None,YES,,NO,NO,NO,NO,,,,,,,,17
SI1_232,2013-01-20T20:59:12Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,,YES,YES,NO,NO,NO,,,NO,NO,NO,YES,,,NO,Debt / Financial,,No,NO,,NO,NO,,NO,NO,NO,,,NO,,Completed,None,NO,,,NO,NO,,,,,,,,,17
SI1_233,2013-01-20T21:01:13Z,2012-01-19T00:00:00Z,C,,,,10305,1,YES,,OWN,,,NO,YES,YES,YES,YES,YES,YES,YES,YES,,NO,YES,NO,NO,NO,YES,,YES,NO,NO,YES,NO,,NO,,Allstate,Yes,NO,,,NO,,YES,YES,YES,NO,,YES,Financial assistance,Completed,,NO,,,YES,YES,NO,,,,,,,,4
SI1_234,2013-01-20T21:02:39Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,2,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,,YES,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,NO,YES,,,Yes,NO,NO,NO,YES,,NO,NO,NO,NO,,NO,,Completed,None,YES,,NO,NO,NO,,,,,,,,,17
SI1_235,2013-01-20T21:02:58Z,2012-01-19T00:00:00Z,D,,,,10306,1,YES,,OWN,,,YES,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,YES,NO,YES,,,NO,NO,YES,YES,NO,YES,,Allstate,Yes,NO,NO,NO,NO,,YES,,,,,YES,"INSULATING HOUSE AND WINDOWS, CAR",Completed,,YES,,,YES,NO,,,MAY NEED TO SPEAK WITH LAWYER. NIGHTMARES.,"FEMA CHECK WAS FOR LIVING EXPENSES BUT NOT FOR CAR, TRUCK. HASN'T HEARD ANYTHING ABOUT SBA LOAN.",TOLD NOT TO GET FLOOD INSURANCE WHEN BUYING. MORTGAGE PROBLEMS: MAYBE.,,,,4
SI1_236,2013-01-21T09:35:45Z,2012-01-19T00:00:00Z,B,Polish,Staten Island,NY,,3,YES,,OWN,,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,,NO,YES,NO,YES,NO,NO,,NO,NO,NO,YES,YES,YES,,,Allstate,Yes,YES,NO,YES,NO,,NO,NO,NO,"TENANT FILED, NOT SURE IF THEY GOT HELP",,YES,Repairs,Completed,Yellow,NO,,NO,NO,YES,MAYBE,,,,,,,,17
SI1_237,2013-01-21T09:48:21Z,2012-01-19T00:00:00Z,B,,,,,,YES,,RENT,Family/Friend,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,NO,YES,YES,NO,NO,NO,,NO,NO,NO,YES,YES,NO,NO,,,Yes,NO,NO,NO,NO,,NO,NO,NO,NO,,NO,,Completed,Green,YES,,NO,NO,NO,NO,,,,,,,,17
SI1_238,2013-01-21T09:57:53Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,5,,,RENT,,NO,NO,,,,,YES,YES,NO,NO,,YES,YES,,YES,NO,YES,,,YES,YES,YES,NO,,NO,,,No,NO,,NO,NO,,YES,NO,NO,NO,,YES,FEMA DIDNT PAY US FOR MY HUSBAND'S CAR WE LOST,Completed,Green,,,,NO,YES,YES,,,,,,,,19
SI1_239,2013-01-21T10:00:45Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,4,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,,YES,YES,NO,NO,NO,NO,,NO,YES,NO,YES,YES,YES,NO,"Unaware, Debt / Income",,Yes,NO,NO,NO,NO,,NO,NO,NO,NO,,NO,,Completed,None,NO,,NO,NO,NO,NO,,,,,,,,1
SI1_240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI1_241,2013-01-21T10:15:44Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,,YES,YES,NO,NO,NO,NO,,NO,YES,NO,YES,YES,NO,NO,Unaware,,No,NO,NO,NO,NO,,NO,NO,NO,NO,,NO,FEMA money,Completed,Green,NO,,NO,NO,NO,NO,,,didn't know about it.,,,,Financial Aid (FEMA or otherwise),1
SI1_242,2013-01-21T10:23:59Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,,1,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,,YES,YES,NO,NO,NO,NO,,YES,YES,NO,YES,NO,YES,,,,Yes,NO,,,,,NO,YES,YES,NO,,NO,,Completed,,YES,Gets disability benefits but no to disability question,NO,YES,NO,YES,,,Check from FEMA on the way,Not sure if the payment covers all the repairs,,,,7
SI1_243,2013-01-21T10:56:34Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,,NO,YES,NO,NO,NO,NO,,NO,YES,NO,YES,YES,NO,YES,,Allstate,Yes,YES,YES,NO,NO,,NO,NO,NO,NO,,YES,"Jackets, coats (XL), Underwear, Boxers",Completed,Green,NO,,NO,NO,NO,YES,,,,,,,,1
SI1_244,2013-01-21T11:12:59Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,4,NO,,OWN,,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,,YES,YES,NO,NO,NO,YES,,YES,NO,NO,YES,YES,NO,YES,,Allstate,Yes,,NO,NO,NO,,NO,NO,NO,YES,,NO,Flood insurance and FEMA payment,Completed,None,YES,,NO,NO,NO,,,,,,,,,1
SI1_245,2013-01-21T11:19:26Z,2012-01-19T00:00:00Z,C,,,,,3,YES,,OWN,,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,,NO,YES,,YES,,YES,,YES,NO,NO,YES,YES,YES,NO,,AMERICA SECURITY,Yes,NO,NO,NO,NO,,NO,YES,YES,NO,,NO,"BASEMENT FURNACE, INSURANCE CHECK ASSISTANCE",Completed,None,YES,,,NO,NO,NO,,"BASEMENT DAMAGED, SIDING MISSING, FURNACE DAMAGED",,,,,,8
SI1_246,2013-01-21T13:05:58Z,2012-01-19T00:00:00Z,C,,,,10305,2,YES,,OWN,,,NO,YES,YES,YES,YES,YES,NO,YES,YES,,NO,YES,NO,NO,NO,NO,,NO,NO,NO,YES,YES,YES,NO,Debt / Financial,GEICO-Travelers,Yes,NO,,,,,NO,NO,NO,,,MAYBE,2 outside doors,Completed,Green,YES,,NO,,NO,,,,,Insurance claim denied,,,,4
SI1_247,2013-01-21T13:11:15Z,2012-01-19T00:00:00Z,C,,,,10305,3,YES,,OWN,,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,,NO,YES,NO,NO,NO,YES,,NO,YES,NO,YES,YES,YES,YES,,Travels,Yes,NO,,,,,,NO,NO,NO,,NO,,Completed,Green,YES,,NO,,NO,NO,,,,,,,,4
SI1_248,2013-01-21T13:16:30Z,2012-01-19T00:00:00Z,C,,,,10305,5,YES,,OWN,,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,,NO,YES,YES,NO,YES,YES,,NO,NO,NO,YES,NO,,YES,,Allstate,Yes,YES,NO,,,,NO,NO,,NO,,YES,Financial assistance,Completed,Green,YES,,NO,,NO,,,,,,,,,4
SI1_249,2013-01-21T13:21:32Z,2012-01-19T00:00:00Z,C,,,,10305,1,YES,,OWN,,,NO,YES,YES,YES,YES,YES,NO,YES,NO,,NO,YES,NO,NO,NO,NO,,NO,NO,NO,YES,YES,YES,NO,,Liberty Mutual,Yes,NO,,,NO,,NO,NO,NO,NO,,NO,everything is done,Completed,,NO,,NO,,NO,,,,,,,military meals here if needed come to collect,Water/Food,4
SI1_250,2013-01-21T13:25:28Z,2012-01-19T00:00:00Z,C,,,,10305,4,YES,,OWN,,,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,NO,NO,NO,,NO,NO,NO,YES,YES,YES,NO,Debt / Financial,Progressive,Yes,NO,,,NO,,NO,NO,NO,YES,,YES,,Completed,Green,YES,,NO,,YES,,,,,Insurance claim denied,,,,4
SI1_251,2013-01-21T13:30:00Z,2012-01-19T00:00:00Z,C,,,,10305,3,YES,,OWN,,,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,YES,NO,NO,,NO,NO,YES,YES,YES,,NO,Debt / Financial,Merit,Yes,NO,,,,,YES,NO,,YES,,YES,Building supplies,Completed,,NO,,NO,,NO,,,,,,,,,4
SI1_252,2013-01-21T13:34:09Z,2012-01-19T00:00:00Z,C,,,,10305,3,YES,,RENT,,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,,YES,YES,NO,YES,NO,YES,,NO,NO,NO,YES,YES,NO,YES,,,No,NO,,,NO,,,NO,,YES,,YES,Financial assistance,Completed,Green,NO,,NO,YES,YES,,,,,,,,,4
SI1_253,2013-01-21T13:34:40Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,4,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,YES,YES,NO,YES,,NO,YES,YES,YES,YES,NO,YES,,Castle Point,Yes,YES,YES,NO,NO,,NO,YES,YES,YES,,NO,Fence,Completed,Green,YES,,NO,NO,YES,,,,,,,,,1
SI1_254,2013-01-21T13:38:30Z,,C,,,,10305,3,YES,,OWN,,,NO,YES,YES,YES,YES,YES,YES,NO,NO,,YES,YES,NO,YES,NO,NO,,NO,YES,NO,YES,YES,NO,NO,Debt / Financial,Cambridge,Yes,NO,,,YES,,YES,NO,NO,NO,,NO,Repair,Completed,,YES,,NO,NO,NO,NO,,,,,,,,4
SI1_255,2013-01-21T13:47:29Z,2012-01-19T00:00:00Z,C,,,,10305,3,NO,,OWN,Rental,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,,YES,YES,YES,YES,NO,YES,,NO,NO,NO,YES,YES,NO,YES,,Coastal P+/NFIP,Yes,YES,NO,,,,YES,NO,NO,YES,,YES,basement and backyard clean up,Completed,,NO,,,YES,YES,,,,,,,,,4
SI1_256,2013-01-21T13:52:09Z,2012-01-19T00:00:00Z,C,,,,10305,2,NO,,OWN,Family/Friend,,NO,YES,YES,YES,YES,NO,NO,NO,NO,,YES,YES,YES,YES,NO,YES,,NO,NO,NO,YES,YES,,YES,,Capital/Tower,Yes,YES,NO,,NO,,YES,,NO,,,YES,Mold remediation,Completed,Green,YES,,NO,YES,NO,,,,,,,,,4
SI1_257,2013-01-21T13:59:13Z,2012-01-19T00:00:00Z,C,,,,10305,3,NO,,OWN,Family/Friend,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,,YES,YES,NO,YES,NO,YES,,NO,NO,NO,YES,NO,NO,NO,Debt / Financial,,No,NO,NO,NO,NO,,NO,NO,NO,NO,,YES,Building supplies,Completed,,,,NO,NO,YES,NO,,,,,,,,4
SI1_258,2013-01-21T14:07:49Z,2012-01-19T00:00:00Z,C,,,,10305,4,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,,YES,YES,NO,NO,NO,NO,,NO,NO,NO,YES,YES,YES,NO,,Allstate,Yes,NO,NO,NO,NO,,NO,NO,NO,NO,,YES,,Completed,,YES,,NO,NO,NO,NO,New Dorp area,,,,,,,4
SI1_259,2013-01-21T19:15:43Z,2012-01-19T00:00:00Z,D,,,,10306,1,NO,,OWN,Family/Friend,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,NO,YES,NO,YES,NO,YES,,NO,YES,,YES,YES,NO,YES,,Allstate,Yes,YES,NO,NO,,,YES,NO,,YES,,YES,"LUNCH, HOT FOOD, PORTO POTTIES, HOW-TO HOUSE REPAIR, GROUP CRISIS COUNSELOR",Completed,Green,YES,,,,NO,NO,,NEEDS CRISIS COUNSELOR,,PROPERTY TAX ASSESSMENT????,,EVERYONE LOVES XXXXX WITH SHOPPING CART,"Mental Health, Home Repair",4
SI1_260,2013-01-21T19:24:26Z,2012-01-19T00:00:00Z,D,,,,10306,4,NO,,OWN,Rental,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,,NO,YES,YES,YES,NO,YES,,NO,NO,NO,YES,NO,NO,YES,,Cambridge,Yes,YES,NO,NO,,,YES,YES,,YES,,YES,Financial assistance,Completed,,NO,,,,NO,,,,TURNED DOWN FOR DISASTER FOOD STAMPS.,,,,"Home Repair, Financial Aid (FEMA or otherwise)",4
SI1_261,2013-01-21T20:01:08Z,2012-01-19T00:00:00Z,D,,,,10306,3,YES,,,,,YES,YES,YES,YES,YES,,,,,,,,,,,,,,NO,,YES,NO,,,,Allstate,Yes,YES,NO,NO,,,,,,,,,1ST FLOOR,Completed,,YES,,,,,,"THE PHONE NUMBER IS MARINA'S DAUGHTER, INNA, WHO SPEAKS BETTER ENGLISH. SHE LIVES NEXT DOOR. ADDRESS NOT NOTED.",,,,,,,4
SI1_262,2013-01-21T21:06:35Z,2012-01-19T00:00:00Z,D,,Staten Island,NY,10306,5,NO,,OWN,Rental,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,NO,,YES,YES,YES,,,,No,,,,,,,NO,,,,YES,Building supplies,Completed,,YES,,NO,,,,,"NEEDS HOUSEHOLD FOOD SOON. 2 CHILDREN, 2 SENIOR CITIZENS, 2 DISABLED LIVING THERE. HAD A MOLD PROBLEM. MAY NEED TO SPEAK WITH A LAWYER.",MAY NEED HELP WITH UNEMPLOYMENT BENEFITS,,,WOULD LIKE THE COMMUNITY MEETING IN CEDAR GROVE,Home Repair,4
SI1_263,2013-01-21T21:10:41Z,2012-01-19T00:00:00Z,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GOT CONTACT INFO, DIDN'T COMPLETE SURVEY",Green,,,,,,,,,,,,,,4
SI1_264,2013-01-22T13:21:12Z,,,,,,10306,,YES,,,,,,YES,YES,YES,YES,,NO,NO,,,,,YES,,,NO,,NO,,,YES,YES,,,,,Yes,NO,,,,,,,,,,,,,,,,,,,,Called into hotline.  half day mold job,"small mold problem, says about a half day.  2 floors,2nd not affected",,"needs a denial for no flood, then fema",,,,
SI1_265,2013-01-24T18:13:00Z,,,,,,,,YES,,OWN,,NO,NO,YES,YES,YES,,,,,,,,,NO,,NO,YES,,YES,,,YES,,,,,Narrogasate Bay,Yes,NO,,NO,NO,,YES,,,,,,help to lift sheetrock,phone,,,,,,,,,wants help with sheetrock and fling an insurance,,,,,,Phone-In to Goldi
SI1_266,2013-01-25T11:09:51Z,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed,Green,,,,,,,,,,,,,,recovers.org
SI1_267,2013-01-25T11:14:30Z,,B,,Staten Island,NY,10305,1,NO,,OWN,Family/Friend,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,recovers.org
SI1_268,2013-01-25T11:17:21Z,,A,,Staten Island,NY,,,YES,,OWN,,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,India,YES,YES,NO,YES,NO,YES,,NO,YES,NO,YES,,,,,,Yes,NO,,,,,,,,NO,,,,,Green,,,NO,,NO,,,,,,,,,recovers.org
SI1_269,2013-01-25T11:25:26Z,,A,,Staten Island,NY,10305,,NO,,RENT,,NO,NO,YES,YES,YES,YES,YES,,,,,NO,YES,,YES,NO,YES,,,,,,,,,,,,,,,,,,,,,,,Financial assistance,,Yellow,NO,,,,,,,,,,#NAME?,willing to volunteer if needed,,recovers.org
SI1_270,2013-01-25T11:34:10Z,,,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,calling for a friend,,,,,Contacting on behalf of a deaf friend whose house was red tagged. Need people to help rebuild.,,recovers.org
SI1_271,2013-01-25T11:57:56Z,,D,,Staten Island,NY,10306,3,YES,,OWN,,,,YES,YES,YES,YES,YES,,NO,NO,,YES,YES,NO,NO,NO,YES,,NO,NO,NO,YES,NO,,YES,Debt / Financial,Selective and Cambridge Mutual,Yes,YES,NO,,,,,,,,,,Financial assistance,Completed,Green,,,,NO,,,,,,,,,Financial Aid (FEMA or otherwise),
